ID,Name,Age,Occupation,Gender,Same_ofiice_home_location,kids,RM_save_money,RM_quality_time,RM_better_sleep,calmer_stressed,RM_professional_growth,RM_lazy,RM_productive,digital_connect_sufficient,RM_better_work_life_balance,RM_improved_skillset,RM_job_opportunities,Target
103,Sushmita,27,Manager,Female,No,No,Yes,No,No,STRESSED,3,5,5,Yes,1,4,Not sure,0
104,Shilpa,25,HR,Female,Yes,No,Yes,Yes,Yes,CALMER,1,1,5,Yes,5,4,Not sure,1
105,Bhuv ,21,Marketing ,Male,No,No,Yes,Yes,Yes,CALMER,3,4,3,No,3,2,Not sure,0
106,Ranjith,25,Recruiter,Male,No,No,Yes,No,No,STRESSED,3,5,3,No,3,4,Not sure,0
107,Shubam,24,Engineer,Male,Yes,No,No,No,No,CALMER,3,4,2,No,2,3,Not sure,1
108,Ivaan,26,Manager,Male,No,No,Yes,No,No,STRESSED,5,3,3,No,1,2,Not sure,0
109,Akila,26,HR,Female,No,No,Yes,Yes,Yes,CALMER,3,3,3,Yes,4,4,Yes,1
110,Rachel,29,Manager,Female,No,Yes,Yes,No,No,STRESSED,4,5,4,Yes,2,4,Yes,1
111,Ramesh,27,Engineer,Male,No,No,No,No,No,STRESSED,3,4,2,Yes,1,4,Yes,0
112,Vihaan,27,HR,Male,No,No,No,No,Yes,STRESSED,2,1,2,Yes,1,5,No,0
113,Sumaya,23,Recruiter,Female,Yes,No,Yes,Yes,Yes,STRESSED,3,4,4,No,2,3,Not sure,0
114,Amog,24,Manager,Male,No,No,Yes,Yes,No,STRESSED,3,5,4,Yes,2,3,Not sure,0
115,Anjita,25,Engineer,Female,Yes,No,Yes,Yes,Yes,CALMER,3,4,4,Yes,3,4,Not sure,1
116,Sam,52,Business,Male,Yes,Yes,Yes,Yes,Yes,CALMER,4,4,4,Yes,5,3,No,1
117,Raina,23,Business,Female,No,No,Yes,No,No,STRESSED,4,4,4,Yes,1,4,Yes,0
118,Taarush ,22,Engineer,Male,No,No,No,No,No,STRESSED,4,4,2,No,2,2,Not sure,0
119,Puri,28,Manager,Female,Yes,No,Yes,Yes,Yes,CALMER,3,3,5,No,3,4,No,0
120,Samya,53,HR,Female,Yes,Yes,Yes,Yes,Yes,CALMER,2,3,4,No,4,3,Not sure,1
121,Aarya,42,Tutor,Female,Yes,Yes,Yes,Yes,No,STRESSED,1,1,5,Yes,4,5,Yes,0
122,Renuka,27,Business,Female,Yes,Yes,Yes,Yes,No,STRESSED,2,4,3,Yes,2,3,Yes,0
123,Viraj ,25,Marketing ,Male,Yes,No,No,No,No,STRESSED,4,5,3,No,2,3,Yes,0
124,Jacob,52,Business,Male,Yes,Yes,Yes,Yes,Yes,CALMER,4,4,4,Yes,5,3,No,1
125,Kakshi,25,Marketing ,Female,Yes,No,Yes,Yes,Yes,CALMER,1,1,5,Yes,5,4,Not sure,1
126,Chaali ,27,Tutor,Female,Yes,Yes,Yes,Yes,No,STRESSED,1,1,5,Yes,4,5,Yes,0
127,Chandana,29,Engineer,Female,Yes,Yes,Yes,Yes,No,STRESSED,2,3,3,Yes,4,5,Yes,1
128,Ammy,22,Tutor,Male,No,No,No,No,No,CALMER,3,3,3,No,3,3,No,1
129,Jill,28,Engineer,Female,Yes,No,Yes,Yes,No,STRESSED,3,2,4,No,3,5,Yes,0
130,Daniel,26,Marketing ,Male,No,No,Yes,Yes,Yes,STRESSED,3,4,4,Yes,4,5,Yes,1
131,Tim,26,Engineer,Male,No,No,Yes,No,Yes,STRESSED,3,3,3,Yes,4,3,Not sure,0
132,Roopa,29,HR,Female,yes,Yes,Yes,No,No,STRESSED,5,3,5,Yes,1,3,No,0
133,Harsh,30,Manager,Male,Yes,No,No,No,No,STRESSED,2,4,3,No,2,5,Not sure,0
134,Pooja,33,Engineer,Female,Yes,Yes,Yes,Yes,Yes,CALMER,4,1,5,Yes,3,3,Not sure,1
135,Mark,54,Business,Male,Yes,Yes,Yes,Yes,Yes,CALMER,4,4,4,Yes,5,3,No,1
136,Joseph,25,Marketing ,Male,Yes,No,Yes,Yes,No,STRESSED,4,4,4,No,4,3,Not sure,0
137,Sitaa,25,Marketing ,Female,No,Yes,Yes,No,No,STRESSED,5,3,5,Yes,1,3,No,0
138,Anmol,24,Tutor,Female,No,No,Yes,Yes,Yes,CALMER,3,3,4,No,2,3,No,0
139,Isha,25,Business,Female,No,No,Yes,No,No,STRESSED,4,4,3,No,3,3,Not sure,0
140,Sammya,36,Engineer,Female,No,No,No,Yes,No,STRESSED,3,4,3,No,3,4,Not sure,0
141,Rathan,26,Recruiter,Male,Yes,No,No,Yes,No,STRESSED,3,3,5,Yes,4,2,Yes,1
142,Kareena,45,Tutor,Female,Yes,Yes,Yes,Yes,Yes,CALMER,5,1,5,Yes,5,5,Yes,1
143,Hari,24,Tutor,Male,No,No,No,No,No,CALMER,2,2,2,No,3,3,No,1
144,Anushula,53,HR,Female,Yes,Yes,Yes,Yes,Yes,CALMER,3,3,4,No,5,3,No,1
145,Nametha,26,Engineer,Female,Yes,No,Yes,Yes,No,STRESSED,3,4,4,No,4,5,Yes,0
146,Raghu,25,Marketing ,Male,Yes,No,No,No,No,STRESSED,4,5,3,No,2,3,Yes,0
147,Rahul,40,HR,Male,No,No,Yes,Yes,Yes,CALMER,3,3,3,No,3,5,Yes,0
148,Sandy,24,Engineer,Male,Yes,No,No,No,No,CALMER,3,4,2,No,2,3,Not sure,1
149,Rayor,25,Engineer,Male,No,No,Yes,Yes,Yes,STRESSED,2,4,3,No,2,4,Not sure,0
150,Crystal,26,Recruiter,Female,No,No,Yes,Yes,Yes,CALMER,3,2,4,No,4,3,Not sure,1
151,Sheetal,27,Engineer,Female,Yes,No,Yes,Yes,No,STRESSED,4,4,4,No,4,4,Yes,0
152,Ali,25,Engineer,Male,No,No,Yes,Yes,Yes,CALMER,4,3,4,No,3,4,Yes,1
153,Rishabh,29,Business,Male,No,No,Yes,Yes,Yes,CALMER,1,2,3,Yes,5,3,Yes,1
154,Sid,28,Engineer,Male,No,No,No,No,Yes,STRESSED,3,3,4,No,3,3,Yes,1
155,Shahid,25,Recruiter,Male,No,No,Yes,Yes,Yes,CALMER,4,3,2,No,3,3,Not sure,0
156,Khan,24,Business,Male,No,No,No,Yes,No,STRESSED,1,5,2,No,3,5,Yes,0
157,Shelly,44,Tutor,Female,No,Yes,No,No,No,STRESSED,4,1,3,No,4,3,No,0
158,Surya,25,Marketing ,Male,Yes,No,Yes,No,No,STRESSED,4,3,4,Yes,2,5,Yes,1
159,Saif,44,Marketing ,Male,Yes,Yes,No,Yes,No,STRESSED,2,1,3,No,3,2,No,0
160,Kashmira,29,Engineer,Female,Yes,No,Yes,Yes,Yes,STRESSED,5,5,1,No,1,2,Not sure,0
161,Sangeetha,41,Tutor,Female,No,Yes,Yes,Yes,Yes,STRESSED,3,2,4,Yes,3,4,No,0
162,Jorden,30,Manager,Male,Yes,No,No,No,No,STRESSED,2,4,3,No,2,5,Not sure,0
163,Mala,30,Manager,Male,No,No,Yes,Yes,Yes,CALMER,3,3,4,Yes,4,4,No,1
164,neha,26,Manager,Female,Yes,No,Yes,Yes,Yes,CALMER,3,3,5,No,3,4,No,0
165,susan,53,HR,Female,Yes,Yes,Yes,Yes,Yes,CALMER,2,3,4,No,4,3,Not sure,1
166,Priyanka,42,Tutor,Female,Yes,Yes,Yes,Yes,No,STRESSED,1,1,5,Yes,4,5,Yes,0
167,Deepika,27,Business,Female,Yes,Yes,Yes,Yes,No,STRESSED,2,4,3,Yes,2,3,Yes,0
168,Sameera ,25,Business,Female,Yes,No,Yes,Yes,No,STRESSED,4,4,4,No,4,4,Yes,0
169,Lekha,28,HR,Female,Yes,No,Yes,Yes,Yes,CALMER,3,1,5,No,4,3,Not sure,1
170,Davis,25,HR,Male,No,No,Yes,Yes,No,STRESSED,2,4,3,No,5,3,Yes,0
171,Abhishek,29,Manager,Male,No,No,No,No,No,STRESSED,5,1,3,Yes,1,3,Yes,1
172,Sia,26,Manager,Female,No,No,Yes,No,No,STRESSED,3,5,5,Yes,1,4,Not sure,0
173,Shilpa,25,HR,Female,Yes,No,Yes,Yes,Yes,CALMER,1,1,5,Yes,5,4,Not sure,1
174,Braddy,22,Marketing ,Male,No,No,Yes,Yes,Yes,CALMER,3,4,3,No,3,2,Not sure,0
175,Keshew,25,Recruiter,Male,No,No,Yes,No,No,STRESSED,3,5,3,No,3,4,Not sure,0
176,Shubam,24,Engineer,Male,Yes,No,No,No,No,CALMER,3,4,2,No,2,3,Not sure,1
177,Rishi,29,Manager,Male,No,No,Yes,No,No,STRESSED,5,3,3,No,1,2,Not sure,0
178,Aakansha,26,HR,Female,No,No,Yes,Yes,Yes,CALMER,3,3,3,Yes,4,4,Yes,1
179,Monica,28,Manager,Female,No,Yes,Yes,No,No,STRESSED,4,5,4,Yes,2,4,Yes,1
180,Suresh,28,Engineer,Male,No,No,No,No,No,STRESSED,3,4,2,Yes,1,4,Yes,0
181,Vishal,27,HR,Male,No,No,No,No,Yes,STRESSED,2,1,2,Yes,1,5,No,0
182,Sumaya,23,Recruiter,Female,Yes,No,Yes,Yes,Yes,STRESSED,3,4,4,No,2,3,Not sure,0
183,Asim,24,Manager,Male,No,No,Yes,Yes,No,STRESSED,3,5,4,Yes,2,3,Not sure,0
184,Anita,25,Engineer,Female,Yes,No,Yes,Yes,Yes,CALMER,3,4,4,Yes,3,4,Not sure,1
185,David,57,Business,Male,Yes,Yes,Yes,Yes,Yes,CALMER,4,4,4,Yes,5,3,No,1
186,Sanjana,24,Business,Female,No,No,Yes,No,No,STRESSED,4,4,4,Yes,1,4,Yes,0
187,Raagiv,22,Engineer,Male,No,No,No,No,No,STRESSED,4,4,2,No,2,2,Not sure,0
188,Amala,42,Tutor,Female,Yes,Yes,Yes,Yes,No,STRESSED,1,1,5,Yes,4,5,Yes,0
189,Sujitha,32,Engineer,Female,Yes,Yes,Yes,Yes,Yes,CALMER,4,1,5,Yes,3,3,Not sure,1
190,Rowling,26,HR,Male,Yes,No,Yes,Yes,No,STRESSED,2,4,5,Yes,4,4,Not sure,0
191,Shoba,36,Tutor,Female,Yes,Yes,Yes,Yes,Yes,CALMER,4,3,3,No,1,1,Not sure,0
192,Rain,25,Manager,Female,No,No,Yes,No,No,STRESSED,4,3,3,Yes,3,1,Not sure,0
193,Ranveer,54,Business,Male,Yes,Yes,Yes,Yes,Yes,CALMER,4,4,4,Yes,5,3,No,1
194,Lokiya,25,Marketing ,Female,Yes,No,Yes,Yes,Yes,CALMER,1,1,5,Yes,5,4,Not sure,1
195,Charitha,42,Tutor,Female,Yes,Yes,Yes,Yes,No,STRESSED,1,1,5,Yes,4,5,Yes,0
196,Maria,29,Engineer,Female,Yes,Yes,Yes,Yes,No,STRESSED,2,3,3,Yes,4,5,Yes,1
197,Jhanvi,23,Tutor,Male,No,No,No,No,No,CALMER,3,3,3,No,3,3,No,1
198,Mandana,26,Engineer,Female,Yes,No,Yes,Yes,No,STRESSED,3,2,4,No,3,5,Yes,0
199,Chandler,27,Marketing ,Male,No,No,Yes,Yes,Yes,STRESSED,3,4,4,Yes,4,5,Yes,1
200,Ranvijay,26,Engineer,Male,No,No,Yes,No,Yes,STRESSED,3,3,3,Yes,4,3,Not sure,0
201,Rekha,24,HR,Female,No,Yes,Yes,No,No,STRESSED,5,3,5,Yes,1,3,No,0
202,Louis,28,Manager,Male,Yes,No,No,No,No,STRESSED,2,4,3,No,2,5,Not sure,0
203,Nandini,32,Engineer,Female,Yes,Yes,Yes,Yes,Yes,CALMER,4,1,5,Yes,3,3,Not sure,1
204,Matt,52,Business,Male,Yes,Yes,Yes,Yes,Yes,CALMER,4,4,4,Yes,5,3,No,1
205,Rithik,22,Marketing ,Male,Yes,No,Yes,Yes,No,STRESSED,4,4,4,No,4,3,Not sure,0
206,Radha,25,Marketing ,Female,No,Yes,Yes,No,No,STRESSED,5,3,5,Yes,1,3,No,0
207,Anaisha,23,Tutor,Female,No,No,Yes,Yes,Yes,CALMER,3,3,4,No,2,3,No,0
